sample	genus_species	type	dbh(cm)	height(m)	total_root_fresh_mass(g)	root_tips_fresh_mass(g)	remaining_root_fresh_mass(g)	remaining_root_dry_mass(g)	root_tips_dry_mass(g)	total_root_dry_mass(g)	root_tip_mass_fraction(%)	root_dry_matter_content(mg/g)	root_water_content(%)	root_length(cm)	specific_root_length(cm/g)	root_area(cm²)	specifc_root_area(cm²/g)	root_avg_diam(mm)	root_len_per_vol(cm/m³)	root_volume(cm³)	root_tissue_density(g/cm³)	n_root_tips	branchiness(tips/length)	tip_abundance(tips/g)	n_forks	n_crossings
36	Lindera metcalfiana	AM	4.00	4.75	1.09	0.48	0.61	0.17	0.14	0.31	42.40	268.74	73.13	155.03	595.14	36.44	143.42	0.81	155.03	0.71	0.41	312.00	2.68	1650.75	234.17	11.83
37	Litsea elongata	AM	2.35	3.60	0.56	0.10	456.00	0.14	0.03	0.17	21.23	290.81	70.92	49.68	332.74	16.95	112.66	1.11	49.68	0.47	0.35	142.50	2.93	929.03	61.50	0.17
38	Litsea martabanica	AM			358.00	126.00	232.00	77.00	0.04	0.11	36.98	304.99	69.50	101.75	999.61	22.33	217.26	0.70	101.75	0.39	0.28	199.33	1.95	1817.04	170.00	6.33
39	Litsea mollis	AM	2.40	4.00	0.25	0.05	201.00	49.00	0.01	0.06	25.03	255.31	74.47	27.83	573.99	8.78	160.57	0.97	27.83	0.23	0.27	112.00	4.29	2759.73	34.67	0.67
40	Litsea salicifolia	AM	3.00	5.00	1.04	0.39	0.65	0.17	0.11	0.28	45.12	294.32	70.57	111.66	536.98	33.66	146.02	0.98	111.66	0.86	0.32	198.50	1.92	999.28	149.17	2.67
41	Litsea szemois	AM	3.05	4.20	1.37	0.80	0.58	0.17	0.23	0.40	56.01	289.17	71.08	178.83	465.49	43.08	113.17	0.78	178.83	0.83	0.49	302.50	1.62	752.45	400.67	18.50
42	Litsea umbellata	AM	5.23	4.97	0.89	0.44	0.45	0.12	0.13	0.25	48.78	309.66	69.03	109.36	468.75	30.61	131.81	0.90	109.36	0.69	0.39	187.11	1.73	833.23	202.22	3.89
43	Machilus nanmu	AM	2.10	4.00	1206.00	0.44	0.77	0.20	0.12	0.33	37.69	277.42	72.26	121.40	405.61	40.97	136.22	1.08	121.40	1.10	0.30	194.33	1.56	618.81	81.67	2.00
44	Machilus rufipes	AM	2.58	3.83	0.57	0.18	0.39	0.11	0.05	0.17	35.66	286.97	71.30	82.36	577.28	22.33	150.94	0.93	82.36	0.51	0.33	161.11	2.03	1111.63	117.11	3.39
45	Machilus tenuipilis	AM	2.30	2.00	261.00	0.08	0.19	52.00	0.02	0.07	33.86	283.47	71.65	34.05	525.72	9.98	150.17	0.93	34.05	0.24	0.33	76.00	2.53	1135.14	40.00	0.33
